"MatchingRule","Record1Identifier","Record2Identifier","TotalSimilarity","IsMatch"
"LinearCombinationMatchingRule","bbe_40747","fdb_6572","0.0",
"LinearCombinationMatchingRule","bbe_37311","fdb_14902","0.2333333333333333",
"LinearCombinationMatchingRule","bbe_20367","fdb_16496","0.0",
"LinearCombinationMatchingRule","bbe_11227","fdb_8944","0.0",
"LinearCombinationMatchingRule","bbe_4994","fdb_1391","0.0",
"LinearCombinationMatchingRule","bbe_36933","fdb_1418","0.5249999999999999","0"
"LinearCombinationMatchingRule","bbe_420","fdb_16519","0.2333333333333333",
"LinearCombinationMatchingRule","bbe_48357","fdb_210","0.2333333333333333",
"LinearCombinationMatchingRule","bbe_51985","fdb_2134","0.0",
"LinearCombinationMatchingRule","bbe_18453","fdb_4700","0.2333333333333333",
"LinearCombinationMatchingRule","bbe_18757","fdb_7053","0.2333333333333333",
"LinearCombinationMatchingRule","bbe_36375","fdb_5856","0.0",
"LinearCombinationMatchingRule","bbe_24810","fdb_1863","0.0",
"LinearCombinationMatchingRule","bbe_16750","fdb_12937","0.0",
"LinearCombinationMatchingRule","bbe_336","fdb_6273","0.0",
"LinearCombinationMatchingRule","bbe_141","fdb_4620","0.0",
"LinearCombinationMatchingRule","bbe_6286","fdb_6735","0.0",
"LinearCombinationMatchingRule","bbe_37568","fdb_2446","0.2333333333333333",
"LinearCombinationMatchingRule","bbe_13680","fdb_14210","0.0",
"LinearCombinationMatchingRule","bbe_16985","fdb_13454","0.0",
"LinearCombinationMatchingRule","bbe_22845","fdb_7998","0.0",
"LinearCombinationMatchingRule","bbe_27587","fdb_5314","0.2333333333333333",
"LinearCombinationMatchingRule","bbe_38017","fdb_11129","0.07777777777777777",
"LinearCombinationMatchingRule","bbe_17831","fdb_4069","0.0",
"LinearCombinationMatchingRule","bbe_39581","fdb_6165","0.0",
"LinearCombinationMatchingRule","bbe_1023","fdb_4044","0.0",
"LinearCombinationMatchingRule","bbe_49085","fdb_2876","0.0",
"LinearCombinationMatchingRule","bbe_51076","fdb_7742","0.0",
"LinearCombinationMatchingRule","bbe_42148","fdb_1879","0.0",
"LinearCombinationMatchingRule","bbe_17615","fdb_16730","0.175",
"LinearCombinationMatchingRule","bbe_22903","fdb_12117","0.0",
"LinearCombinationMatchingRule","bbe_34071","fdb_645","0.2333333333333333",
"LinearCombinationMatchingRule","bbe_16694","fdb_15866","0.0",
"LinearCombinationMatchingRule","bbe_2418","fdb_5727","0.19999999999999998",
"LinearCombinationMatchingRule","bbe_33769","fdb_17258","0.175",
"LinearCombinationMatchingRule","bbe_10596","fdb_3739","NaN",
"LinearCombinationMatchingRule","bbe_40301","fdb_11977","0.0",
"LinearCombinationMatchingRule","bbe_7394","fdb_15339","0.42",
"LinearCombinationMatchingRule","bbe_37860","fdb_12117","0.0",
"LinearCombinationMatchingRule","bbe_28404","fdb_2544","0.0",
"LinearCombinationMatchingRule","bbe_16726","fdb_12244","0.3",
"LinearCombinationMatchingRule","bbe_2519","fdb_4394","0.0",
"LinearCombinationMatchingRule","bbe_30957","fdb_8908","0.0",
"LinearCombinationMatchingRule","bbe_18259","fdb_1803","0.0",
"LinearCombinationMatchingRule","bbe_13164","fdb_16542","0.0",
"LinearCombinationMatchingRule","bbe_46871","fdb_2508","0.0",
"LinearCombinationMatchingRule","bbe_16094","fdb_12374","0.0",
"LinearCombinationMatchingRule","bbe_41938","fdb_8020","0.0",
"LinearCombinationMatchingRule","bbe_31872","fdb_16496","0.0",
"LinearCombinationMatchingRule","bbe_35477","fdb_6969","0.2333333333333333",
"LinearCombinationMatchingRule","bbe_50291","fdb_8660","0.0",
"LinearCombinationMatchingRule","bbe_43481","fdb_16698","0.0",
"LinearCombinationMatchingRule","bbe_41525","fdb_8797","0.0",
"LinearCombinationMatchingRule","bbe_9934","fdb_3408","0.0",
"LinearCombinationMatchingRule","bbe_35753","fdb_6276","NaN",
"LinearCombinationMatchingRule","bbe_673","fdb_7978","0.0",
"LinearCombinationMatchingRule","bbe_44534","fdb_8530","0.0",
"LinearCombinationMatchingRule","bbe_4195","fdb_4430","0.0",
"LinearCombinationMatchingRule","bbe_30987","fdb_8271","0.0",
"LinearCombinationMatchingRule","bbe_13057","fdb_2867","0.0",
"LinearCombinationMatchingRule","bbe_12633","fdb_11470","0.0",
"LinearCombinationMatchingRule","bbe_37481","fdb_9156","0.0",
"LinearCombinationMatchingRule","bbe_5720","fdb_11563","0.7",
"LinearCombinationMatchingRule","bbe_25844","fdb_9830","0.0",
"LinearCombinationMatchingRule","bbe_46103","fdb_10362","0.0",
"LinearCombinationMatchingRule","bbe_11816","fdb_13454","NaN",
"LinearCombinationMatchingRule","bbe_16432","fdb_6962","0.0",
"LinearCombinationMatchingRule","bbe_43961","fdb_3654","0.12727272727272726",
"LinearCombinationMatchingRule","bbe_14884","fdb_7675","0.0",
"LinearCombinationMatchingRule","bbe_8954","fdb_12439","0.0",
"LinearCombinationMatchingRule","bbe_14079","fdb_4690","0.0",
"LinearCombinationMatchingRule","bbe_8964","fdb_9561","0.3",
"LinearCombinationMatchingRule","bbe_8331","fdb_3647","0.2333333333333333",
"LinearCombinationMatchingRule","bbe_11457","fdb_14451","0.0",
"LinearCombinationMatchingRule","bbe_13693","fdb_1126","0.0",
"LinearCombinationMatchingRule","bbe_23216","fdb_16589","0.0",
"LinearCombinationMatchingRule","bbe_25998","fdb_12558","0.0",
"LinearCombinationMatchingRule","bbe_7701","fdb_16325","0.0",
"LinearCombinationMatchingRule","bbe_10530","fdb_3312","0.0",
"LinearCombinationMatchingRule","bbe_21921","fdb_329","0.0",
"LinearCombinationMatchingRule","bbe_10916","fdb_16785","0.15555555555555553",
"LinearCombinationMatchingRule","bbe_19261","fdb_5397","0.0",
"LinearCombinationMatchingRule","bbe_9554","fdb_2609","0.35",
"LinearCombinationMatchingRule","bbe_44936","fdb_16871","0.13999999999999999",
"LinearCombinationMatchingRule","bbe_1776","fdb_8509","0.0",
"LinearCombinationMatchingRule","bbe_11510","fdb_8020","NaN",
"LinearCombinationMatchingRule","bbe_2094","fdb_9355","0.0",
"LinearCombinationMatchingRule","bbe_31019","fdb_12507","NaN",
"LinearCombinationMatchingRule","bbe_25170","fdb_1580","0.0",
"LinearCombinationMatchingRule","bbe_50293","fdb_11107","0.175",
"LinearCombinationMatchingRule","bbe_34088","fdb_15317","0.0",
"LinearCombinationMatchingRule","bbe_16423","fdb_2134","0.0",
"LinearCombinationMatchingRule","bbe_3255","fdb_1671","0.0",
"LinearCombinationMatchingRule","bbe_40827","fdb_5864","0.26249999999999996",
"LinearCombinationMatchingRule","bbe_52263","fdb_9322","0.35",
"LinearCombinationMatchingRule","bbe_27315","fdb_8578","0.0",
"LinearCombinationMatchingRule","bbe_40818","fdb_7844","0.0",
"LinearCombinationMatchingRule","bbe_35815","fdb_11464","0.0",
"LinearCombinationMatchingRule","bbe_51856","fdb_8338","0.0",
"LinearCombinationMatchingRule","bbe_27688","fdb_11624","0.0",
"LinearCombinationMatchingRule","bbe_8226","fdb_4612","0.0",
"LinearCombinationMatchingRule","bbe_1026","fdb_8006","0.0",
"LinearCombinationMatchingRule","bbe_48326","fdb_14838","0.26249999999999996",
"LinearCombinationMatchingRule","bbe_1634","fdb_13393","0.0",
"LinearCombinationMatchingRule","bbe_29386","fdb_10822","0.0",
"LinearCombinationMatchingRule","bbe_36578","fdb_14658","0.0",
"LinearCombinationMatchingRule","bbe_21983","fdb_3280","0.2333333333333333",
"LinearCombinationMatchingRule","bbe_24217","fdb_2519","0.0",
"LinearCombinationMatchingRule","bbe_18116","fdb_8993","0.0",
"LinearCombinationMatchingRule","bbe_35332","fdb_4050","0.16153846153846155",
"LinearCombinationMatchingRule","bbe_44849","fdb_2805","0.19999999999999998",
"LinearCombinationMatchingRule","bbe_12811","fdb_3497","0.0",
"LinearCombinationMatchingRule","bbe_50821","fdb_12933","0.0875",
"LinearCombinationMatchingRule","bbe_32379","fdb_1391","0.0",
"LinearCombinationMatchingRule","bbe_37274","fdb_2640","0.0",
"LinearCombinationMatchingRule","bbe_5802","fdb_14838","0.2333333333333333",
"LinearCombinationMatchingRule","bbe_47444","fdb_12634","0.0",
"LinearCombinationMatchingRule","bbe_18715","fdb_11054","0.0",
"LinearCombinationMatchingRule","bbe_4470","fdb_11640","0.0",
"LinearCombinationMatchingRule","bbe_51774","fdb_6099","0.19999999999999998",
"LinearCombinationMatchingRule","bbe_31200","fdb_14143","NaN",
"LinearCombinationMatchingRule","bbe_42135","fdb_1534","0.7",
"LinearCombinationMatchingRule","bbe_39722","fdb_3386","0.0",
"LinearCombinationMatchingRule","bbe_15254","fdb_9964","0.0",
"LinearCombinationMatchingRule","bbe_7127","fdb_11542","0.0",
"LinearCombinationMatchingRule","bbe_24494","fdb_16076","0.35",
"LinearCombinationMatchingRule","bbe_18989","fdb_12144","0.09333333333333332",
"LinearCombinationMatchingRule","bbe_37593","fdb_1935","0.0",
"LinearCombinationMatchingRule","bbe_26268","fdb_8413","0.0",
"LinearCombinationMatchingRule","bbe_11816","fdb_8951","0.0",
"LinearCombinationMatchingRule","bbe_136","fdb_16531","0.19999999999999998",
"LinearCombinationMatchingRule","bbe_50510","fdb_4394","0.0",
"LinearCombinationMatchingRule","bbe_33041","fdb_7501","0.0",
"LinearCombinationMatchingRule","bbe_14528","fdb_13284","0.0",
"LinearCombinationMatchingRule","bbe_42958","fdb_16861","0.0",
"LinearCombinationMatchingRule","bbe_47413","fdb_11102","0.11666666666666665",
"LinearCombinationMatchingRule","bbe_51425","fdb_7874","0.2333333333333333",
"LinearCombinationMatchingRule","bbe_405","fdb_7109","NaN",
"LinearCombinationMatchingRule","bbe_7059","fdb_624","0.2333333333333333",
"LinearCombinationMatchingRule","bbe_52166","fdb_15729","0.0",
"LinearCombinationMatchingRule","bbe_10647","fdb_7548","0.0",
"LinearCombinationMatchingRule","bbe_19449","fdb_11656","NaN",
"LinearCombinationMatchingRule","bbe_14130","fdb_2406","0.0",
"LinearCombinationMatchingRule","bbe_42811","fdb_7881","0.0",
"LinearCombinationMatchingRule","bbe_35048","fdb_7744","0.0",
"LinearCombinationMatchingRule","bbe_48697","fdb_7844","0.0",
"LinearCombinationMatchingRule","bbe_35310","fdb_7708","0.0",
"LinearCombinationMatchingRule","bbe_19331","fdb_16496","0.0",
"LinearCombinationMatchingRule","bbe_20132","fdb_14008","0.0",
"LinearCombinationMatchingRule","bbe_38715","fdb_7313","0.42",
"LinearCombinationMatchingRule","bbe_37593","fdb_3739","0.0",
"LinearCombinationMatchingRule","bbe_39899","fdb_7563","0.0",
"LinearCombinationMatchingRule","bbe_20746","fdb_7978","0.0",
"LinearCombinationMatchingRule","bbe_1824","fdb_9676","0.0",
"LinearCombinationMatchingRule","bbe_30491","fdb_11883","0.0",
"LinearCombinationMatchingRule","bbe_33520","fdb_4149","0.0",
"LinearCombinationMatchingRule","bbe_40644","fdb_11319","0.1076923076923077",
"LinearCombinationMatchingRule","bbe_44405","fdb_9434","0.42",
"LinearCombinationMatchingRule","bbe_49231","fdb_17295","0.0",
"LinearCombinationMatchingRule","bbe_34433","fdb_2273","0.19999999999999998",
"LinearCombinationMatchingRule","bbe_7092","fdb_9446","0.0",
"LinearCombinationMatchingRule","bbe_45376","fdb_6153","NaN",
"LinearCombinationMatchingRule","bbe_1295","fdb_7114","0.0",
"LinearCombinationMatchingRule","bbe_6100","fdb_5427","0.7",
"LinearCombinationMatchingRule","bbe_21956","fdb_4810","0.2333333333333333",
"LinearCombinationMatchingRule","bbe_5789","fdb_12444","0.0",
"LinearCombinationMatchingRule","bbe_46914","fdb_975","0.2333333333333333",
"LinearCombinationMatchingRule","bbe_4369","fdb_15009","0.2333333333333333",
"LinearCombinationMatchingRule","bbe_13922","fdb_3220","0.0",
"LinearCombinationMatchingRule","bbe_5352","fdb_11235","0.0",
"LinearCombinationMatchingRule","bbe_20509","fdb_14045","0.0",
"LinearCombinationMatchingRule","bbe_2674","fdb_11613","0.19999999999999998",
"LinearCombinationMatchingRule","bbe_23732","fdb_3684","0.0",
"LinearCombinationMatchingRule","bbe_49839","fdb_13747","0.0",
"LinearCombinationMatchingRule","bbe_20931","fdb_5255","0.0",
"LinearCombinationMatchingRule","bbe_1175","fdb_10889","0.0",
"LinearCombinationMatchingRule","bbe_20093","fdb_2543","0.0",
"LinearCombinationMatchingRule","bbe_16803","fdb_4251","0.3",
"LinearCombinationMatchingRule","bbe_29576","fdb_3684","0.0",
"LinearCombinationMatchingRule","bbe_40956","fdb_4425","0.0",
"LinearCombinationMatchingRule","bbe_21226","fdb_4450","0.0",
"LinearCombinationMatchingRule","bbe_20837","fdb_11840","0.4666666666666666",
"LinearCombinationMatchingRule","bbe_1422","fdb_14742","0.2333333333333333",
"LinearCombinationMatchingRule","bbe_19233","fdb_12330","0.0",
"LinearCombinationMatchingRule","bbe_49705","fdb_8315","0.12727272727272726",
"LinearCombinationMatchingRule","bbe_30070","fdb_10380","0.0",
"LinearCombinationMatchingRule","bbe_20289","fdb_15606","0.0",
"LinearCombinationMatchingRule","bbe_29568","fdb_12444","0.0",
"LinearCombinationMatchingRule","bbe_22586","fdb_102","0.0",
"LinearCombinationMatchingRule","bbe_20264","fdb_11095","0.42",
"LinearCombinationMatchingRule","bbe_12351","fdb_16551","0.0875",
"LinearCombinationMatchingRule","bbe_4990","fdb_14435","0.09999999999999999",
"LinearCombinationMatchingRule","bbe_14416","fdb_17086","0.0",
"LinearCombinationMatchingRule","bbe_15318","fdb_6637","0.0",
"LinearCombinationMatchingRule","bbe_24751","fdb_2385","0.0",
"LinearCombinationMatchingRule","bbe_40307","fdb_3663","0.0",
"LinearCombinationMatchingRule","bbe_44457","fdb_3395","0.175",
"LinearCombinationMatchingRule","bbe_45374","fdb_4043","0.0",
"LinearCombinationMatchingRule","bbe_45713","fdb_5798","0.19999999999999998",
"LinearCombinationMatchingRule","bbe_18560","fdb_6748","0.2333333333333333",
"LinearCombinationMatchingRule","bbe_16344","fdb_14275","0.2333333333333333",
"LinearCombinationMatchingRule","bbe_40378","fdb_3051","0.0",
"LinearCombinationMatchingRule","bbe_10205","fdb_7159","0.2333333333333333",
"LinearCombinationMatchingRule","bbe_6887","fdb_9251","0.2333333333333333",
"LinearCombinationMatchingRule","bbe_21122","fdb_6954","0.2333333333333333",
"LinearCombinationMatchingRule","bbe_51774","fdb_8691","0.19999999999999998",
"LinearCombinationMatchingRule","bbe_33975","fdb_2542","0.0",
"LinearCombinationMatchingRule","bbe_2651","fdb_13702","0.2333333333333333",
"LinearCombinationMatchingRule","bbe_20531","fdb_12433","0.0",
"LinearCombinationMatchingRule","bbe_9995","fdb_6036","0.0",
"LinearCombinationMatchingRule","bbe_41830","fdb_13033","0.09999999999999999",
"LinearCombinationMatchingRule","bbe_29420","fdb_17120","0.2333333333333333",
"LinearCombinationMatchingRule","bbe_14313","fdb_5533","0.19999999999999998",
"LinearCombinationMatchingRule","bbe_46602","fdb_13170","0.2333333333333333",
"LinearCombinationMatchingRule","bbe_22483","fdb_8801","0.0",
"LinearCombinationMatchingRule","bbe_26524","fdb_15685","0.0",
"LinearCombinationMatchingRule","bbe_38534","fdb_13018","0.0",
"LinearCombinationMatchingRule","bbe_36007","fdb_8938","0.0",
"LinearCombinationMatchingRule","bbe_3131","fdb_10326","0.19999999999999998",
"LinearCombinationMatchingRule","bbe_764","fdb_10668","0.0",
"LinearCombinationMatchingRule","bbe_32253","fdb_7217","0.19999999999999998",
"LinearCombinationMatchingRule","bbe_17546","fdb_5622","0.0",
"LinearCombinationMatchingRule","bbe_12876","fdb_9365","0.42",
"LinearCombinationMatchingRule","bbe_38739","fdb_13356","0.0",
"LinearCombinationMatchingRule","bbe_16841","fdb_6763","0.0",
"LinearCombinationMatchingRule","bbe_637","fdb_14624","0.0",
"LinearCombinationMatchingRule","bbe_9680","fdb_15904","0.0",
"LinearCombinationMatchingRule","bbe_31129","fdb_2946","0.04666666666666666",
"LinearCombinationMatchingRule","bbe_51095","fdb_3360","0.7",
"LinearCombinationMatchingRule","bbe_43204","fdb_8104","0.0",
"LinearCombinationMatchingRule","bbe_5240","fdb_7169","0.2333333333333333",
"LinearCombinationMatchingRule","bbe_27939","fdb_5948","0.0",
"LinearCombinationMatchingRule","bbe_50855","fdb_6928","0.0",
"LinearCombinationMatchingRule","bbe_39778","fdb_13599","0.0",
"LinearCombinationMatchingRule","bbe_15241","fdb_13356","0.0",
"LinearCombinationMatchingRule","bbe_1801","fdb_4044","0.0",
"LinearCombinationMatchingRule","bbe_25963","fdb_13422","0.0",
"LinearCombinationMatchingRule","bbe_15936","fdb_9531","0.0",
"LinearCombinationMatchingRule","bbe_2375","fdb_9156","0.0",
"LinearCombinationMatchingRule","bbe_33041","fdb_5965","0.0",
"LinearCombinationMatchingRule","bbe_40291","fdb_14027","0.2333333333333333",
"LinearCombinationMatchingRule","bbe_44767","fdb_9193","0.0",
"LinearCombinationMatchingRule","bbe_42298","fdb_12161","0.0",
"LinearCombinationMatchingRule","bbe_27315","fdb_61","0.0",
"LinearCombinationMatchingRule","bbe_24217","fdb_9927","0.0",
"LinearCombinationMatchingRule","bbe_44906","fdb_12465","0.19999999999999998",
"LinearCombinationMatchingRule","bbe_48752","fdb_4069","0.0",
"LinearCombinationMatchingRule","bbe_46464","fdb_3739","0.0",
"LinearCombinationMatchingRule","bbe_23651","fdb_14055","0.0",
"LinearCombinationMatchingRule","bbe_50981","fdb_12815","NaN",
"LinearCombinationMatchingRule","bbe_25406","fdb_6829","0.19999999999999998",
"LinearCombinationMatchingRule","bbe_22138","fdb_12433","0.0",
"LinearCombinationMatchingRule","bbe_23561","fdb_10039","0.0",
"LinearCombinationMatchingRule","bbe_14057","fdb_10300","0.0",
"LinearCombinationMatchingRule","bbe_25592","fdb_8989","0.0",
"LinearCombinationMatchingRule","bbe_48119","fdb_5351","0.0",
"LinearCombinationMatchingRule","bbe_523","fdb_15238","0.03684210526315789",
"LinearCombinationMatchingRule","bbe_28956","fdb_16691","0.15555555555555553",
"LinearCombinationMatchingRule","bbe_20208","fdb_14787","0.19999999999999998",
"LinearCombinationMatchingRule","bbe_32555","fdb_13056","0.2333333333333333",
"LinearCombinationMatchingRule","bbe_34398","fdb_3541","0.19999999999999998",
"LinearCombinationMatchingRule","bbe_51369","fdb_10239","0.0",
"LinearCombinationMatchingRule","bbe_2871","fdb_7379","0.0",
"LinearCombinationMatchingRule","bbe_21511","fdb_7502","0.3",
"LinearCombinationMatchingRule","bbe_31098","fdb_5665","0.0",
"LinearCombinationMatchingRule","bbe_42321","fdb_1614","0.0",
"LinearCombinationMatchingRule","bbe_27688","fdb_8929","0.0",
"LinearCombinationMatchingRule","bbe_5526","fdb_4571","0.0",
"LinearCombinationMatchingRule","bbe_17636","fdb_13125","NaN",
"LinearCombinationMatchingRule","bbe_3645","fdb_15655","0.0",
"LinearCombinationMatchingRule","bbe_18227","fdb_1614","0.05",
"LinearCombinationMatchingRule","bbe_11117","fdb_12080","0.0",
"LinearCombinationMatchingRule","bbe_45291","fdb_2764","0.0",
"LinearCombinationMatchingRule","bbe_8613","fdb_2417","0.2333333333333333",
"LinearCombinationMatchingRule","bbe_27251","fdb_3932","0.0875",
"LinearCombinationMatchingRule","bbe_47313","fdb_16981","0.0",
"LinearCombinationMatchingRule","bbe_15337","fdb_2749","0.0",
"LinearCombinationMatchingRule","bbe_20042","fdb_16774","0.2333333333333333",
"LinearCombinationMatchingRule","bbe_36972","fdb_14442","0.2333333333333333",
"LinearCombinationMatchingRule","bbe_2260","fdb_3810","0.2333333333333333",
"LinearCombinationMatchingRule","bbe_34042","fdb_3929","0.0",
"LinearCombinationMatchingRule","bbe_30093","fdb_5458","0.0",
"LinearCombinationMatchingRule","bbe_7387","fdb_10337","0.0",
"LinearCombinationMatchingRule","bbe_4358","fdb_594","0.0",
"LinearCombinationMatchingRule","bbe_46489","fdb_2415","0.0",
"LinearCombinationMatchingRule","bbe_10785","fdb_16741","0.0",
"LinearCombinationMatchingRule","bbe_14486","fdb_6788","0.7","1"
"LinearCombinationMatchingRule","bbe_28906","fdb_14038","NaN",
"LinearCombinationMatchingRule","bbe_532","fdb_14298","0.35",
"LinearCombinationMatchingRule","bbe_20933","fdb_12225","0.35",
"LinearCombinationMatchingRule","bbe_33573","fdb_2575","0.0",
"LinearCombinationMatchingRule","bbe_7446","fdb_406","0.0",
"LinearCombinationMatchingRule","bbe_2608","fdb_3450","0.0",
"LinearCombinationMatchingRule","bbe_29085","fdb_14918","0.35",
"LinearCombinationMatchingRule","bbe_18293","fdb_13443","0.35",
"LinearCombinationMatchingRule","bbe_35781","fdb_14406","0.0",
"LinearCombinationMatchingRule","bbe_3781","fdb_436","0.42",
"LinearCombinationMatchingRule","bbe_42935","fdb_3676","0.0",
"LinearCombinationMatchingRule","bbe_11007","fdb_6561","0.7",
"LinearCombinationMatchingRule","bbe_44670","fdb_13821","0.2333333333333333",
"LinearCombinationMatchingRule","bbe_27016","fdb_4044","0.0",
"LinearCombinationMatchingRule","bbe_34369","fdb_2695","0.0",
"LinearCombinationMatchingRule","bbe_7874","fdb_679","0.19999999999999998",
"LinearCombinationMatchingRule","bbe_12406","fdb_8076","0.0",
"LinearCombinationMatchingRule","bbe_32351","fdb_4564","0.0",
"LinearCombinationMatchingRule","bbe_19275","fdb_14532","0.0",
"LinearCombinationMatchingRule","bbe_21724","fdb_5374","0.0",
"LinearCombinationMatchingRule","bbe_49136","fdb_11190","0.0",
"LinearCombinationMatchingRule","bbe_41506","fdb_10264","0.15555555555555553",
"LinearCombinationMatchingRule","bbe_14729","fdb_16525","0.0",
"LinearCombinationMatchingRule","bbe_19755","fdb_3711","0.0",
"LinearCombinationMatchingRule","bbe_10205","fdb_11731","0.3",
"LinearCombinationMatchingRule","bbe_36903","fdb_11933","0.0",
"LinearCombinationMatchingRule","bbe_35494","fdb_4087","0.0",
"LinearCombinationMatchingRule","bbe_50707","fdb_163","0.0",
"LinearCombinationMatchingRule","bbe_10500","fdb_1763","0.19999999999999998",
"LinearCombinationMatchingRule","bbe_22632","fdb_12897","0.2333333333333333",
"LinearCombinationMatchingRule","bbe_5070","fdb_5104","0.0",
"LinearCombinationMatchingRule","bbe_9819","fdb_3728","NaN",
"LinearCombinationMatchingRule","bbe_42707","fdb_9577","0.0",
"LinearCombinationMatchingRule","bbe_46521","fdb_11895","0.11666666666666665",
"LinearCombinationMatchingRule","bbe_5759","fdb_6966","NaN",
"LinearCombinationMatchingRule","bbe_39580","fdb_5261","0.15555555555555553",
"LinearCombinationMatchingRule","bbe_14587","fdb_7100","0.0",
"LinearCombinationMatchingRule","bbe_10756","fdb_6399","0.2333333333333333",
"LinearCombinationMatchingRule","bbe_22878","fdb_704","0.0",
"LinearCombinationMatchingRule","bbe_21485","fdb_14301","0.0",
"LinearCombinationMatchingRule","bbe_7980","fdb_3530","0.0",
"LinearCombinationMatchingRule","bbe_746","fdb_796","0.2333333333333333",
"LinearCombinationMatchingRule","bbe_40976","fdb_13445","0.0",
