"[0] BookTitleComparatorLowerJaccard","[1] BookAuthorComparatorLowerJaccard","[2] BookReleaseDateComparatorWeightedDateSimilarity"
"0.75","0.0","0.0"
"1.0","1.0","NaN"
"1.0","1.0","NaN"
"1.0","0.0","0.0"
"1.0","0.0","0.0"
"1.0","1.0","0.0"
"1.0","0.0","0.0"
"1.0","1.0","NaN"
"0.75","0.0","0.0"
"1.0","0.0","0.0"
"0.75","0.0","0.0"
"1.0","1.0","NaN"
"0.75","0.0","0.0"
"1.0","0.0","0.0"
"0.8","0.0","0.0"
"1.0","0.0","0.0"
"1.0","1.0","NaN"
"0.75","1.0","0.0"
"1.0","0.0","0.0"
"0.75","0.0","0.0"
"1.0","0.0","0.0"
"0.8333333333333334","1.0","NaN"
"1.0","1.0","NaN"
"0.8","1.0","NaN"
"1.0","1.0","NaN"
"0.75","0.0","0.0"
"0.8","1.0","0.0"
"1.0","1.0","NaN"
"1.0","1.0","NaN"
"1.0","0.0","NaN"
"1.0","1.0","0.0"
"1.0","1.0","NaN"
"0.75","0.0","0.0"
"1.0","1.0","NaN"
"1.0","1.0","NaN"
"1.0","1.0","NaN"
"1.0","0.0","0.0"
"0.75","0.0","NaN"
"0.8","0.0","0.0"
"1.0","1.0","0.0"
"1.0","1.0","NaN"
"0.8333333333333334","0.0","0.0"
"1.0","1.0","NaN"
"1.0","1.0","NaN"
"0.8","1.0","NaN"
"1.0","1.0","NaN"
"1.0","0.0","NaN"
"1.0","1.0","NaN"
"1.0","0.0","0.0"
"1.0","0.0","0.0"
"0.75","0.0","0.0"
"1.0","1.0","0.0"
"0.75","0.0","0.0"
"0.75","0.0","0.0"
"1.0","0.0","0.0"
"1.0","1.0","NaN"
"1.0","1.0","NaN"
"1.0","0.6666666666666666","0.0"
"1.0","1.0","0.0"
"1.0","1.0","NaN"
"1.0","1.0","NaN"
"0.8","1.0","0.0"
"0.75","0.0","0.0"
"0.75","0.0","0.0"
"1.0","0.0","0.0"
"0.8","1.0","0.0"
"1.0","0.0","0.0"
"1.0","1.0","NaN"
"1.0","0.0","0.0"
"0.75","0.0","0.0"
"1.0","0.0","0.0"
"1.0","0.0","0.0"
"1.0","1.0","NaN"
"1.0","1.0","NaN"
"0.75","0.0","0.0"
"1.0","0.0","0.0"
"1.0","0.0","0.0"
"0.75","1.0","0.0"
"1.0","0.3333333333333333","NaN"
"0.875","1.0","0.0"
"0.75","0.0","0.0"
"1.0","1.0","NaN"
"1.0","1.0","NaN"
"1.0","1.0","NaN"
"1.0","1.0","NaN"
"1.0","0.0","0.0"
"0.75","0.0","NaN"
"1.0","1.0","NaN"
"1.0","1.0","0.0"
"1.0","0.0","0.0"
"0.8","0.0","0.0"
"1.0","1.0","NaN"
"1.0","0.0","0.0"
"1.0","1.0","NaN"
"0.75","1.0","0.0"
"0.75","0.0","NaN"
"1.0","1.0","0.0"
"1.0","1.0","NaN"
"1.0","0.0","0.0"
"0.75","0.0","0.0"
"1.0","1.0","NaN"
"1.0","0.0","0.0"
"0.8","0.0","0.0"
"1.0","0.0","0.0"
"1.0","1.0","NaN"
"1.0","1.0","NaN"
"0.8","0.0","NaN"
"1.0","1.0","NaN"
"1.0","0.0","0.0"
"0.75","0.0","0.0"
"1.0","1.0","NaN"
"1.0","0.5","NaN"
"1.0","1.0","0.0"
"1.0","0.0","0.0"
"0.8","1.0","0.0"
"1.0","1.0","0.0"
"1.0","1.0","NaN"
"1.0","0.0","0.0"
"1.0","1.0","NaN"
"1.0","1.0","NaN"
"0.8333333333333334","0.0","0.0"
"0.75","0.0","0.0"
"1.0","1.0","NaN"
"0.75","0.0","0.0"
"0.75","0.0","0.0"
"1.0","1.0","0.0"
"0.75","0.0","0.0"
"1.0","1.0","NaN"
"1.0","1.0","NaN"
"1.0","1.0","NaN"
"1.0","1.0","0.0"
"0.8571428571428571","1.0","0.0"
"0.8","1.0","NaN"
"1.0","0.0","0.0"
"1.0","0.0","0.0"
"1.0","1.0","NaN"
"0.75","0.0","0.0"
"0.75","0.0","0.0"
"1.0","1.0","NaN"
"1.0","0.0","0.0"
"0.75","0.0","0.0"
"1.0","0.0","0.0"
"1.0","0.0","0.0"
"1.0","0.0","0.0"
"1.0","0.0","0.0"
"1.0","0.0","0.0"
"0.8","0.0","0.0"
"1.0","1.0","NaN"
"1.0","1.0","NaN"
"1.0","1.0","NaN"
"1.0","1.0","NaN"
"0.75","0.0","0.0"
"0.8","0.0","0.0"
"1.0","0.0","0.0"
"1.0","0.0","0.0"
"0.8","1.0","0.0"
"0.8571428571428571","1.0","0.0"
"1.0","1.0","NaN"
"1.0","1.0","NaN"
"1.0","0.0","0.0"
"0.8333333333333334","1.0","0.0"
"1.0","1.0","NaN"
"1.0","1.0","0.0"
"1.0","0.0","0.0"
"1.0","1.0","NaN"
"1.0","0.0","NaN"
"1.0","1.0","0.0"
"0.75","0.0","NaN"
"1.0","0.0","0.0"
"0.8571428571428571","1.0","NaN"
"1.0","1.0","NaN"
"1.0","0.0","0.0"
"0.8333333333333334","1.0","0.0"
"1.0","1.0","0.0"
"1.0","0.0","0.0"
"1.0","0.0","0.0"
"1.0","0.0","0.0"
"0.75","0.0","0.0"
"0.75","0.6666666666666666","0.0"
"1.0","1.0","NaN"
"1.0","1.0","NaN"
"0.75","0.0","0.0"
"1.0","1.0","NaN"
"1.0","1.0","NaN"
"0.75","1.0","0.0"
"0.8","0.0","0.0"
"1.0","0.0","0.0"
"1.0","1.0","0.0"
"0.75","0.0","0.0"
"1.0","1.0","NaN"
"1.0","0.0","0.0"
"1.0","0.0","0.0"
"1.0","0.0","0.0"
"1.0","1.0","NaN"
"1.0","1.0","NaN"
"0.75","0.0","0.0"
"1.0","1.0","NaN"
"0.75","0.0","0.0"
"0.8","0.0","0.0"
"1.0","0.0","0.0"
"1.0","0.3333333333333333","0.0"
"1.0","1.0","NaN"
"0.75","0.0","0.0"
"0.8333333333333334","0.0","0.0"
"1.0","1.0","NaN"
"0.8333333333333334","0.0","0.0"
"0.75","0.0","0.0"
"1.0","1.0","NaN"
"1.0","0.0","0.0"
"0.75","0.0","0.0"
"1.0","1.0","NaN"
"1.0","1.0","NaN"
"1.0","1.0","NaN"
"1.0","1.0","0.0"
"1.0","1.0","NaN"
"0.7142857142857143","1.0","NaN"
"1.0","1.0","NaN"
"0.75","0.0","0.0"
"0.8571428571428571","1.0","NaN"
"1.0","1.0","0.0"
"1.0","1.0","NaN"
"1.0","0.0","NaN"
"1.0","0.0","0.0"
"0.75","0.0","0.0"
"0.75","1.0","0.0"
"1.0","0.3333333333333333","NaN"
"1.0","1.0","NaN"
"0.8","0.0","0.0"
"0.8","0.0","0.0"
"1.0","1.0","NaN"
"0.8333333333333334","0.0","0.0"
"1.0","0.0","0.0"
"0.75","0.0","0.0"
"1.0","1.0","NaN"
"0.75","0.0","0.0"
"1.0","1.0","NaN"
"1.0","1.0","NaN"
"1.0","0.0","0.0"
"1.0","1.0","NaN"
"1.0","1.0","NaN"
"1.0","1.0","0.0"
"0.7142857142857143","0.0","NaN"
"1.0","0.0","0.0"
"1.0","1.0","NaN"
"1.0","0.0","0.0"
"0.75","0.0","0.0"
"1.0","1.0","NaN"
"1.0","1.0","NaN"
"0.8","1.0","NaN"
"0.75","0.0","0.0"
"0.75","0.0","0.0"
"1.0","1.0","NaN"
"0.75","0.0","0.0"
"1.0","0.0","0.0"
"1.0","0.0","0.0"
"1.0","1.0","NaN"
"1.0","1.0","NaN"
"0.8","0.0","0.0"
"0.75","0.0","0.0"
"1.0","0.0","0.0"
"0.75","0.0","0.0"
"0.75","0.0","0.0"
"1.0","1.0","NaN"
"1.0","1.0","NaN"
"1.0","1.0","0.0"
"1.0","1.0","NaN"
"1.0","0.0","0.0"
"1.0","0.0","0.0"
"1.0","1.0","NaN"
"1.0","1.0","NaN"
"1.0","1.0","NaN"
"1.0","1.0","0.0"
"0.75","0.0","0.0"
"0.75","0.0","0.0"
"1.0","1.0","NaN"
"1.0","0.0","0.0"
"1.0","1.0","NaN"
"0.8","0.0","0.0"
"0.8","0.0","0.0"
"1.0","1.0","NaN"
"1.0","0.0","0.0"
"1.0","1.0","NaN"
"1.0","0.5","0.0"
"0.75","0.0","0.0"
"1.0","1.0","0.0"
"0.8333333333333334","0.0","0.0"
"0.8333333333333334","1.0","NaN"
"0.75","1.0","0.0"
"1.0","1.0","NaN"
"1.0","0.0","0.0"
"1.0","0.0","0.0"
"0.8333333333333334","0.0","0.0"
"0.75","0.0","0.0"
"1.0","0.0","0.0"
"1.0","1.0","NaN"
"1.0","1.0","NaN"
"1.0","0.0","0.0"
"1.0","1.0","0.0"
"1.0","0.0","0.0"
"1.0","0.0","0.0"
